/usr/bin/core_perl/h2ph 755 root root 28826 regular file -rwxr-xr-x
/usr/bin/git 755 root root 4367952 regular file -rwxr-xr-x
/usr/bin/tiff2ps 755 root root 55360 regular file -rwxr-xr-x
/usr/bin/fatlabel 755 root root 43104 regular file -rwxr-xr-x
/usr/bin/xmlwf 755 root root 38952 regular file -rwxr-xr-x
/usr/bin/fftw-wisdom 755 root root 36704 regular file -rwxr-xr-x
/usr/bin/mount 4755 root root 43128 regular file -rwsr-xr-x
/usr/bin/gkbd-keyboard-display 755 root root 14440 regular file -rwxr-xr-x
/usr/bin/mkfs.ext3 755 root root 137584 regular file -rwxr-xr-x
/usr/bin/bcachefs 755 root root 3298048 regular file -rwxr-xr-x
/usr/bin/mpartition 777 root root 6 symbolic link lrwxrwxrwx
/usr/bin/playerctl 755 root root 39440 regular file -rwxr-xr-x
/usr/bin/esi 755 root root 14376 regular file -rwxr-xr-x
/usr/bin/xfs_spaceman 755 root root 47312 regular file -rwxr-xr-x
/usr/bin/pw-config 755 root root 18552 regular file -rwxr-xr-x
/usr/bin/mkfs.fat 755 root root 51752 regular file -rwxr-xr-x
/usr/bin/zic 755 root root 63616 regular file -rwxr-xr-x
/usr/bin/makepkg-template 755 root root 6460 regular file -rwxr-xr-x
/usr/bin/dvipdf 755 root root 1007 regular file -rwxr-xr-x
/usr/bin/djvmcvt 755 root root 22728 regular file -rwxr-xr-x
/usr/bin/mysql_secure_installation 777 root root 27 symbolic link lrwxrwxrwx
/usr/bin/ppm2tiff 755 root root 14384 regular file -rwxr-xr-x
/usr/bin/jasper 755 root root 22656 regular file -rwxr-xr-x
/usr/bin/cairo-trace 755 root root 2952 regular file -rwxr-xr-x
/usr/bin/ocs-update-initrd 755 root root 9946 regular file -rwxr-xr-x
/usr/bin/exch 755 root root 14456 regular file -rwxr-xr-x
/usr/bin/head 755 root root 43232 regular file -rwxr-xr-x
/usr/bin/autoconf 755 root root 6694 regular file -rwxr-xr-x
/usr/bin/sotruss 755 root root 4307 regular file -rwxr-xr-x
/usr/bin/libtoolize 755 root root 137124 regular file -rwxr-xr-x
/usr/bin/wpd2html 755 root root 14472 regular file -rwxr-xr-x
/usr/bin/json-glib-validate 755 root root 14520 regular file -rwxr-xr-x
/usr/bin/a52dec 755 root root 43528 regular file -rwxr-xr-x
/usr/bin/mev 755 root root 22968 regular file -rwxr-xr-x
/usr/bin/lsinitcpio 755 root root 11840 regular file -rwxr-xr-x
/usr/bin/nf-ct-add 755 root root 14968 regular file -rwxr-xr-x
/usr/bin/X 777 root root 4 symbolic link lrwxrwxrwx
/usr/bin/fstrim 755 root root 39032 regular file -rwxr-xr-x
/usr/bin/pnm2png 755 root root 18472 regular file -rwxr-xr-x
/usr/bin/ocs-iso 755 root root 47670 regular file -rwxr-xr-x
/usr/bin/sum 755 root root 34944 regular file -rwxr-xr-x
/usr/bin/lrztar 755 root root 5409 regular file -rwxr-xr-x
/usr/bin/wvtestrun 755 root root 3630 regular file -rwxr-xr-x
/usr/bin/tracert6 755 root root 54 regular file -rwxr-xr-x
/usr/bin/bat 755 root root 5566320 regular file -rwxr-xr-x
/usr/bin/homectl 755 root root 170680 regular file -rwxr-xr-x
/usr/bin/netcat 777 root root 2 symbolic link lrwxrwxrwx
/usr/bin/gs 755 root root 14376 regular file -rwxr-xr-x
/usr/bin/lsusb 755 root root 174232 regular file -rwxr-xr-x
