a52dec 0.8.0-2
maim 5.7.4-6
make 4.4.1-2
man-db 2.11.2-1
man-pages 6.04-1
mathjax2 2.7.9-1
mc 4.8.29-2
md4c 0.4.8-1
mdadm 4.2-2
media-player-info 24-2
meld 3.22.0-2
mesa 23.1.3-1
mesa-utils 9.0.0-2
mjpegtools 2.2.1-2
mkinitcpio 36-1
mkinitcpio-archiso 68-1
mkinitcpio-busybox 1.36.1-1
mkinitcpio-firmware 1.4.0-1
mkinitcpio-nfs-utils 0.3-8
mkinitcpio-openswap 0.1.0-3
mobile-broadband-provider-info 20230416-1
modemmanager 1.20.6-1
mpc 0.34-3
mpd 0.23.13-2
mpfr 4.2.0.p9-1
mpg123 1.31.3-1
mplayer 38412-1
mtdev 1.1.6-2
mtools 1:4.0.43-1
nano 7.2-1
nbd 3.25-1
ncdu 2.2.2-2
ncmpcpp 0.9.2-11
ncurses 6.4_20230520-1
ndisc6 1.0.7-1
neon 0.32.5-2
nethogs 0.8.7-1
nettle 3.9.1-1
network-manager-applet 1.32.0-3
network-manager-sstp 1.3.1-2
networkmanager 1.42.6-1
networkmanager-dmenu-git r177.265230c-1
networkmanager-openconnect 1.2.10-1
networkmanager-openvpn 1.10.2-3
networkmanager-pptp 1.2.12-1
networkmanager-strongswan 1.6.0-1
networkmanager-vpnc 1.2.8-3
nfs-utils 2.6.3-1
nfsidmap 2.6.3-1
nftables 1:1.0.7-2
nilfs-utils 2.2.9-2
nitrogen 1.6.1-4
nm-connection-editor 1.32.0-3
nmap 7.94-1
noto-fonts 1:23.7.1-1
noto-fonts-cjk 20220126-1
noto-fonts-emoji 20220920-1
npth 1.6-4
nspr 4.35-1
nss 3.91-1
ntfs-3g 2022.10.3-1
numactl 2.0.16-1
nvidia 535.54.03-6
nvidia-settings 535.54.03-1
nvidia-utils 535.54.03-1
nvme-cli 2.5-1
oath-toolkit 2.6.7-1
obconf 2.0.4-8
obmenu-generator 0.91-1
ocl-icd 2.3.2-1
oniguruma 6.9.8-1
open-iscsi 2.1.9-2
open-isns 0.102-2
open-vm-tools 6:12.2.5-1
openal 1.23.1-1
openbox 3.6.1-10
openconnect 1:9.12-1
opencore-amr 0.1.6-1
openexr 3.1.9-1
openjpeg2 2.5.0-2
openmpi 4.1.5-2
openpmix 4.2.3-2
openssh 9.3p1-2
openssl 3.1.1-1
openvpn 2.6.5-1
opus 1.4-1
orc 0.4.34-1
os-prober 1.81-1
p11-kit 0.25.0-1
p7zip 1:17.05-1
pacman 6.0.2-7
pacman-contrib 1.9.0-1
pacman-mirrorlist 20230628-1
pam 1.5.3-3
pambase 20221020-1
pango 1:1.50.14-1
pangomm 2.46.3-1
partclone 0.3.23-1
parted 3.6-1
partimage 0.6.9-14
pastel 0.9.0-1
patch 2.7.6-10
pavucontrol 1:5.0+r64+geba9ca6-1
pbzip2 1.1.13-3
pciutils 3.10.0-1
pcre 8.45-3
pcre2 10.42-2
pcsclite 2.0.0-1
perl 5.36.1-2
perl-alien-build 2.80-1
perl-alien-libxml2 0.19-1
perl-cairo-gobject 1.005-1
perl-capture-tiny 0.48-6
perl-clone 0.46-1
perl-data-dump 1.25-3
perl-dbi 1.643-4
perl-encode-locale 1.05-10
perl-error 0.17029-4
perl-ffi-checklib 0.31-2
perl-file-chdir 0.1011-4
perl-file-listing 6.15-2
perl-file-which 1.27-2
perl-glib-object-introspection 0.050-2
perl-gtk3 0.038-3
perl-html-parser 3.81-1
perl-html-tagset 3.20-13
perl-http-cookies 6.10-3
perl-http-daemon 6.16-1
perl-http-date 6.05-6
perl-http-message 6.44-1
perl-http-negotiate 6.01-11
perl-io-html 1.004-3
perl-libwww 6.67-1
perl-linux-desktopfiles 0.25-2
perl-lwp-mediatypes 6.04-3
perl-mailtools 2.21-6
perl-net-http 6.23-1
perl-path-tiny 0.144-1
perl-timedate 2.33-4
perl-try-tiny 0.31-2
perl-uri 5.19-1
perl-www-robotrules 6.02-11
perl-xml-libxml 2.0208-1
perl-xml-namespacesupport 1.12-5
perl-xml-parser 2.46-4
perl-xml-sax 1.02-1
perl-xml-sax-base 1.09-5
perl-xml-writer 0.900-1
picom 10.2-1
pigz 2.7-3
pinentry 1.2.1-1
pipewire 1:0.3.72-1
pipewire-alsa 1:0.3.72-1
pipewire-audio 1:0.3.72-1
pipewire-jack 1:0.3.72-1
pipewire-pulse 1:0.3.72-1
pixman 0.42.2-1
pixz 1.0.7-4
pkcs11-helper 1.29.0-2
pkgconf 1.8.1-1
plank 0.11.89-4
plasma-framework 5.107.0-1
plymouth 22.02.122-5
polkit 122-1
polkit-qt5 0.114.0-1
polybar 3.6.3-3
poppler 23.06.0-1
poppler-data 0.4.12-1
poppler-glib 23.06.0-1
popt 1.19-1
portaudio 1:19.7.0-2
powertop 2.15-1
ppp 2.4.9-3
pptpclient 1.10.0-3
procps-ng 4.0.3-1
psmisc 23.6-1
pulsemixer 1.5.1-4
pv 1.6.20-2
python 3.11.3-2
python-attrs 22.2.0-3
python-cairo 1.23.0-6
python-cffi 1.15.1-3
python-chardet 5.1.0-3
python-configobj 5.0.8-4
python-cryptography 41.0.1-2
python-docopt 0.6.2-12
python-gobject 3.44.1-4
python-idna 3.4-3
python-jinja 1:3.1.2-4
python-jsonpatch 1.33-1
python-jsonpointer 2.4-1
python-jsonschema 4.17.3-3
python-markupsafe 2.1.3-1
python-netifaces 0.11.0-4
python-oauthlib 3.2.2-2
python-pillow 10.0.0-1
python-ply 3.11-12
python-psutil 5.9.5-1
python-pycparser 2.21-5
python-pyrsistent 0.19.3-3
python-pyserial 3.5-5
python-pywal 3.3.0-8
python-requests 2.28.2-4
python-six 1.16.0-8
python-typing_extensions 4.7.0-1
python-urllib3 1.26.15-1
python-yaml 6.0-3
python2 2.7.18-5
qca-qt5 2.3.6-2
qemu-guest-agent 8.0.2-1
qpdf 11.4.0-2
qrencode 4.1.1-2
qt5-base 5.15.10+kde+r130-1
qt5-declarative 5.15.10+kde+r26-1
qt5-graphicaleffects 5.15.10-1
qt5-multimedia 5.15.10+kde+r3-1
qt5-quickcontrols 5.15.10-1
qt5-quickcontrols2 5.15.10+kde+r6-1
qt5-speech 5.15.10+kde+r1-1
qt5-svg 5.15.10+kde+r8-1
qt5-translations 5.15.10-1
qt5-wayland 5.15.10+kde+r51-1
qt5-x11extras 5.15.10-1
qt5-xmlpatterns 5.15.10-1
qt5ct 1.7-1
ranger 1.9.3-9
raptor 2.0.16-3
rav1e 0.6.6-1
readline 8.2.001-2
recode 3.7.14-1
refind 0.14.0.2-1
reflector 2023-1
reiserfsprogs 3.6.27-4
rofi 1.7.5-1
rp-pppoe 3.15-2
rpcbind 1.2.6-3
rsync 3.2.7-4
rtmpdump 1:2.4.r99.f1b83c1-2
run-parts 5.5-1
rxvt-unicode-terminfo 9.31-3
sbc 2.0-1
schroedinger 1.0.11-6
screen 4.9.0-1
sddm-git 0.20.0.6.g07631f2-1
sdl2 2.28.1-1
sdparm 1.12-1
sed 4.9-3
serd 0.30.16-1
sg3_utils 1.47-1
shadow 4.13-2
shared-mime-info 2.2+13+ga2ffb28-1
simplescreenrecorder 0.4.4-2
slang 2.3.3-2
slop 7.6-3
smartmontools 7.3-1
smbclient 4.18.3-2
sof-firmware 2.2.5-1
solid 5.107.0-1
sonnet 5.107.0-1
sord 0.16.14-1
sound-theme-freedesktop 0.8-5
soundtouch 2.3.2-1
spandsp 0.0.6-5
speex 1.2.1-1
speexdsp 1.2.1-1
sqlite 3.42.0-1
squashfs-tools 4.6.1-1
sratom 0.6.14-1
srt 1.5.2-1
sshfs 3.7.3-1
sstp-client 1:1.0.18-1
startup-notification 0.12-8
stoken 0.92-4
strongswan 5.9.10-1
sudo 1.9.13.p3-1
svt-av1 1.6.0-1
svt-hevc 1.5.1-2
sxhkd 0.6.2-3
sysfsutils 2.1.1-1
syslinux 6.04.pre2.r11.gbf6db5b4-3
systemd 253.5-2
systemd-libs 253.5-2
systemd-resolvconf 253.5-2
systemd-sysvcompat 253.5-2
taglib 1.13.1-1
talloc 2.4.0-3
tar 1.34-2
tcl 8.6.13-1
tcpdump 4.99.4-1
tdb 1.4.8-2
terminus-font 4.49.1-5
testdisk 7.1-5
tevent 1:0.14.1-2
texinfo 7.0.3-1
thin-provisioning-tools 1.0.4-1
thunar 4.18.6-1
thunar-archive-plugin 0.5.1-1
thunar-media-tags-plugin 0.4.0-1
thunar-volman 4.18.0-1
timeshift 23.06.2-1
tint2 17.0.2-3
tmux 3.3_a-7
tpm2-tss 4.0.1-1
tracker3 3.5.3-2
trash-cli 0.23.2.13.2-2
tslib 1.22-1
tumbler 4.18.1-1
twolame 0.4.0-3
tzdata 2023c-2
udftools 2.3-1
udisks2 2.9.4-4
ueberzug 18.2.1-1
unarchiver 1.10.7-9
unrar 1:6.2.8-1
unzip 6.0-19
upd72020x-fw 20200826-3
upower 1.90.0-4
uriparser 0.9.7-1
