luajit 2.1.1694285958-1
lv2 1.18.10-1
lvm2 2.03.22-2
lz4 1:1.9.4-1
lzip 1.23-2
lzo 2.10-5
lzop 1.04-3
m4 1.4.19-3
mailcap 2.1.54-1
make 4.4.1-2
mako 1.8.0-1
man-db 2.11.2-1
man-pages 6.05.01-1
mbedtls 3.4.1-1
mcfly 0.8.1-1
md4c 0.4.8-1
mdadm 4.2-2
meld 3.22.0-2
memtest86+ 6.20-1
mercurial 6.5.2-1
mesa 1:23.1.8-1
mesa-demos 9.0.0-2
mhwd-amdgpu 19.1.0-1
mhwd-ati 19.1.0-1
mhwd-db-garuda-git 1:r63.2f652e8-3
mhwd-garuda-git r22.b935c24-1
mhwd-nvidia 525.60.11-1
mhwd-nvidia-390xx 390.143-1
mhwd-nvidia-470xx 470.94-1
micro 2.0.12-1
mjpegtools 2.2.1-2
mlocate 0.26.git.20170220-7
mobile-broadband-provider-info 20230416-1
modem-manager-gui 0.0.20-2
modemmanager 1.20.6-2
mpfr 4.2.1-1
mpg123 1.31.3-1
mpv 1:0.36.0-1
mtdev 1.1.6-2
mtools 1:4.0.43-1
mujs 1.3.3-1
nano 7.2-1
nautilus 44.2.1-1
ncurses 6.4_20230520-1
neatvnc 0.6.0-2
neon 0.32.5-2
net-tools 2.10-2
nettle 3.9.1-1
network-manager-applet 1.32.0-3
network-manager-sstp 1.3.1-3
networkmanager 1.44.0-1
networkmanager-l2tp 1.20.10-1
networkmanager-openconnect 1.2.10-1
networkmanager-openvpn 1.10.2-3
networkmanager-pptp 1.2.12-3
networkmanager-strongswan 1.6.0-1
networkmanager-support 1-7
networkmanager-vpnc 1.2.8-3
nfs-utils 2.6.3-1
nfsidmap 2.6.3-1
nftables 1:1.0.8-2
nilfs-utils 2.2.9-2
nm-cloud-setup 1.44.0-1
nm-connection-editor 1.32.0-3
nmap 7.94-2
noto-color-emoji-fontconfig 1.0.0-1
noto-fonts 1:23.9.1-1
noto-fonts-cjk 20230817-1
noto-fonts-emoji 20220920-1
npth 1.6-4
nspr 4.35-1
nss 3.93-1
nss-mdns 0.15.1-1
ntfs-3g 2022.10.3-1
nwg-drawer 0.3.9-1
nwg-look 0.2.4-1
oath-toolkit 2.6.9-1
obs-studio 29.1.3-1
ocl-icd 2.3.2-1
onevpl 2023.3.1-1
oniguruma 6.9.8-1
openal 1.23.1-1
openconnect 1:9.12-1
opencore-amr 0.1.6-1
openexr 3.2.0-2
openjpeg2 2.5.0-3
openldap 2.6.6-1
openmpi 4.1.5-5
openpmix 4.2.6-1
openresolv 3.13.2-1
openssh 9.4p1-4
openssl 3.1.3-1
openvpn 2.6.6-1
opus 1.4-1
orc 0.4.34-1
os-prober-btrfs 1.79-5
p11-kit 0.25.0-2
p7zip 1:17.05-1
pace 1.4.2-1.3
pacman 6.0.2-7
pacman-contrib 1.9.1-1
pacman-mirrorlist 20230820-1
pahole 1:1.25-4
pam 1.5.3-3
pambase 20221020-1
pango 1:1.50.14-1
pangomm 2.46.3-1
parted 3.6-1
paru 1.11.1-1.3
passim 0.1.1-1
patch 2.7.6-10
pavucontrol 1:5.0+r64+geba9ca6-1
pcaudiolib 1.2-2
